Location,Model,Type,Reference,Lithology,Sample,Mg,Al,Si,Ti,V,Mn,Cr,Zn,Co,Ni,Ga,umap_3,umap_4,umap_1,umap_2,hdbscan
Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,44.6093169220048,158.41075413603454,2000.0,11.0,16.694108844000265,8.508493322189523,6.0,24.86201823265487,5.114842106151924,17.22391226270484,1.0,11.504866,6.748853,24.51069,16.51576,11
Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,22.17599987410646,123.7605608128562,2000.0,11.0,13.8285895624557,7.656142938087125,6.0,24.3117267521925,4.83717290375976,16.33771236724273,1.0,11.92364,6.1639867,24.505112,16.525728,11
Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,48.61677364216644,102.61604593530272,2000.0,11.0,14.886993036964428,10.94930813115903,6.0,25.109913598176853,5.19132431842533,16.884785303080452,1.0,11.610621,6.381885,24.487055,16.551723,11
Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,160.19223249991308,79.32377567222821,2000.0,142.13270669520165,12.66561650047528,11.406438675642136,6.0,10.470764999793705,1.6831888006926867,16.24360389727158,1.0,11.74088,6.806935,24.288673,16.831062,11
Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,135.4660430118994,111.98534839258546,2000.0,144.69590911217298,12.220509914758477,9.86794415338571,6.0,11.717787414818147,1.6907783948342776,16.425065225843237,1.0956767515659604,11.681042,6.644721,24.282448,16.829803,11
Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,8175.35265042167,75.06838677968257,2000.0,143.6770525001031,12.748984297466372,168.45231977348482,6.0,15.256512528909647,1.7513527072689403,15.92562872775498,1.0483965361068726,11.270597,6.5229435,16.748846,27.424614,-1
Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,4764.400971322885,77.06288361554951,2000.0,133.05809613838784,12.933842059243991,96.9568611963292,6.0,19.56657724607885,1.9756155706985692,14.116856477241662,1.0184695697000374,11.334538,6.6391473,16.731697,27.402025,-1
Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,794.1544623747103,55.23466295184582,2000.0,141.07654366096708,12.066378856483574,22.989820091284034,6.0,7.21,1.0,16.108748738775517,1.81,11.678298,6.7163863,24.254063,16.883497,11
Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,1751.242325342403,146.76652065718508,2000.0,141.24795883187423,12.794192663711492,39.21796450689397,6.0,7.21,1.0,15.929241687699704,1.81,11.662854,6.5535007,24.238525,16.920895,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-20,0.889,10.0,6569.151134757055,11.0,2.0,530.1616410928171,6.0,7.21,1.0,2.0,1.81,11.9443655,6.5366387,23.351227,17.763887,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-20,209.5692638620879,19.248751437800244,21553.820156007347,11.0,2.0,729.7327840342292,6.0,6.376945055413376,1.0,9.476770789561288,1.81,12.276921,6.2367163,23.30398,17.746782,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-20,208.27021400948763,24.812004544955027,4046.5791877883808,11.0,2.0,796.7590995634326,6.0,7.21,1.0,9.890024051425494,1.81,11.819724,6.4520955,23.793398,17.630697,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,83.30236521979185,46.27592767611604,2898.740786455612,14.479677494561988,12.465293573666896,65.14225767889069,6.0,6.0,1.0,7.779207869979031,1.81,11.379277,6.244248,24.011946,17.555561,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,34.137273040873346,19.07790504083127,2136.821762003228,13.108506402205574,12.032516592581334,39.45567820567456,6.0,6.0,1.0,5.020962566097597,1.81,11.44964,5.953072,23.975023,17.488132,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,40.99798364223625,19.53871967265932,2000.0,13.818478483911504,12.358370184719217,46.16557194893015,6.0,6.0,1.0,5.606159364969088,1.0,11.275116,5.9529705,23.98169,17.452116,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,62.93345322909362,30.35844615720734,2626.175328335743,11.0,13.283913658734884,70.89032446618943,6.0,7.21,1.065609158381435,8.874261935782057,1.81,11.266197,6.3237276,23.978872,17.552265,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,83.46128925719208,24.50116434642018,2686.816482123449,11.0,11.641742746685743,65.29992772545341,6.0,7.21,1.0,7.249605500555146,1.81,11.693936,6.0034995,24.002798,17.529522,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,93.65513347110128,39.67647672777564,2587.877743077973,11.0,13.333549292854666,99.20572346784628,6.0,6.259028324651447,1.0479144476912814,12.061378694760077,1.0,11.552853,6.0320797,23.989325,17.532288,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,30.90763320016134,18.71287074472,2038.9666999102903,11.712722341809288,12.205893817185922,46.42862734450269,6.0,6.0,1.0,5.7785818350795175,1.0,11.186347,6.0722,23.964342,17.473166,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,61.229787150101295,26.64464909315913,2663.0037181312937,13.95029763290289,12.863303451248289,70.00283687473552,6.0,6.0,1.0,9.189022960242283,1.81,11.506156,5.783512,24.014174,17.544682,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,135.08071856961524,38.11158774466247,2721.7319630411444,12.8946788619806,12.342532812208455,78.49191754153065,6.0,6.0,1.0,6.028530500178994,1.81,11.665856,6.012325,23.980434,17.538057,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,411.7759762918601,30.06229550086628,4214.05526035383,13.497259439897658,12.080145109571465,109.1238546631907,6.0,6.0,1.0,7.282498494094912,1.0,11.791039,5.863513,23.811016,17.6085,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,83.11815452854466,28.664099847663884,2387.680689650818,12.786500120223051,12.872972587604185,67.13354358441777,6.0,6.0,1.0,8.60941208029314,1.0,11.522947,5.848526,23.955896,17.48171,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,81.10653362151058,35.45661452364506,2162.486144625212,11.205545008634632,11.881145171243324,100.7386101594271,6.0,6.0,1.0,11.93274418846924,1.0,11.433266,6.077342,23.945866,17.494005,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,70.1577984518762,26.50154349603708,2602.22101117324,12.708654793582548,12.246669657915216,63.18847439805205,6.0,6.0,1.0,8.820640769173039,1.0,11.452952,5.8004713,23.98812,17.496496,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,66.32051361081422,22.83966824534102,2172.9350694767263,11.0,11.722130324199718,74.04943782622965,6.0,7.21,1.0,6.018423175041296,1.81,11.183137,6.168951,23.968403,17.500216,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,98.84019586696895,33.32212310624705,2307.9865187097093,12.058311610888762,12.720364037091064,93.17669856331491,6.0,6.0,1.0,11.45748565975488,1.0,11.292226,6.2644744,23.976788,17.500593,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,44.713822438133896,20.651873830270205,2000.0,13.040914224797271,11.936717694872296,55.43190402344318,6.0,6.0,1.0,6.108492818271992,1.0,11.452145,5.772964,23.972385,17.45131,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,59.62682438494265,27.20951058324842,2000.0,11.345107705451165,12.852009254965637,66.65304351350542,6.0,6.0,1.0,9.503798615364037,1.0,11.172589,6.111042,23.96774,17.458288,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-75,131.24114860109262,53.52674535390159,2000.0,12.334478909452086,8.402460498516295,95.18820704099412,6.0,26.00426226026745,1.054078664318034,26.09424435541079,7.1108650421052335,11.340269,6.6064153,24.102787,16.819935,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-75,197.1722348699581,97.57682012562763,4181.899631327066,22.981993286068867,8.783391240240215,77.87037044772515,6.0,34.242963136296126,2.137653841345183,27.336591580029044,8.261800728819429,12.02172,7.391563,24.148157,16.433437,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-75,508.985500803494,408.10113418711,2672.7503870028527,24.914768187051877,8.597502251534985,78.43727437300079,6.0,76.88354755051182,3.409583644956444,28.89561512870341,8.890111367746293,12.062063,7.710416,24.106905,16.466501,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-75,177.23875175333922,89.2540857573806,2000.0,25.895788576204705,8.788541226899609,76.69648989218591,6.0,50.41863456318698,3.062044052945599,31.576026090140203,8.423380196868383,11.440773,7.184111,24.134579,16.583393,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,178.6246304443218,96.66324032965298,2922.637003988766,16.389773784127897,3.5000814044898068,44.44087639377181,6.0,6.0,1.0,8.518111506057071,1.2274523298103976,11.807821,6.3244333,24.052404,17.10311,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,119.60844569405508,84.40644971281145,2000.0,17.095608205068803,3.00373035450712,48.56688346134001,6.0,11.25186899119799,1.0,7.258470576734193,1.3213620177900685,11.492754,6.3047376,24.099491,17.042526,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,250.4514895808185,152.2803284259777,2000.0,16.350396363317667,4.046245817251734,62.1553138367345,6.0,9.715329041753137,1.0,9.497087518697551,1.2239284927073475,11.399333,6.777735,24.075443,17.021454,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,245.08961573198,102.74513443067345,2000.0,17.99733661624717,3.823030005204637,62.46064454859289,6.0,8.701343251591995,1.0,9.52391869276508,1.2769169963527602,11.323371,6.496525,24.08807,17.011553,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,155.79399307912863,78.27211305145826,2000.0,16.733513035999568,5.090126941471639,56.2618588530132,6.0,10.226179410823244,1.0,7.185504956571034,1.2559571332335568,11.285518,6.1841016,24.08772,17.037947,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,158.46751388143505,64.74370958560372,2000.0,15.241787000398755,3.180232453912319,68.76278644969412,6.0,6.461972565194128,1.0,7.203010235790703,1.1597978827388913,11.629523,6.229553,24.083958,17.057034,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,79.29702040208477,34.2853310940981,3612.715372260713,13.768303457959966,4.098723760666179,37.09229684219624,6.0,12.338642606914505,1.0,10.168754621716664,1.082302280932281,11.91597,6.079506,23.989017,17.52139,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,410.494012993858,250.61379983907815,2000.0,14.77008491036504,3.319042699101898,56.38193923502998,6.0,6.455974510868104,1.0,9.177518329293868,1.3758894696097923,11.443256,6.800076,24.061087,17.009247,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,542.8126996474673,296.4062673334396,4839.144422678813,14.47690180311342,3.9931364549541297,62.472775716433205,6.0,7.048052137237268,1.0,10.64623551281025,1.3576817133309518,12.13669,6.7078376,23.68993,17.07425,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,125.12290576387156,68.29928743779284,2000.0,16.12853676207667,5.190548584239055,52.52980806333812,6.0,6.526486581668997,1.0,8.331728807659045,1.3088331368368302,11.133858,6.307726,24.078299,17.061996,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,241.0693194586508,94.04158654524626,2000.0,16.67849512170158,3.710050514839863,50.89908586261969,6.0,6.0,1.0,9.087253488384674,1.2800396631568327,11.271253,6.2667866,24.079794,17.046486,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,303.5539091249987,151.57756017599382,2000.0,16.981686294961186,3.2126320786449143,60.284047667438784,6.0,10.257674825023418,1.0,7.652540994570341,1.273789411076642,11.76672,6.5892406,24.092186,16.99142,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,67.0577057549293,66.72416120332767,2000.0,14.384597595205491,4.738008282855534,62.58999720294278,6.0,7.08076301030615,1.0,9.068297843552864,2.0601857500871903,11.265328,6.049595,24.030128,17.138687,11
Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,113.81018853276566,78.99033390860794,2000.0,16.17793280333348,6.075165875549399,55.30095278708479,6.0,6.0,1.0,14.205149803693695,1.7337010723766004,11.2316885,6.359646,24.07859,17.058723,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-01,307.5087236193165,372.1848516712035,7392.431590861943,11.13132313948361,21.443738617726165,166.69151422488093,6.587192224351802,6.2930833593327815,6.471350053178216,2.3247619857737334,1.4922222932067246,12.452002,6.580125,22.722002,18.200981,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-02,282.23279413794467,42.89930824074907,14964.114592911032,94.36225576078354,45.56762726003024,240.9866085547677,6.0,6.0,1.4489841374965249,2.0,1.0,12.584518,6.2605305,22.918232,17.655668,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-03,105.9787630180026,246.72646017105495,4704.253286882519,11.0,27.67079787723453,237.31412097229315,9.030560154438987,7.933711377183682,6.895623686497444,3.797025355743042,1.5835373248731217,11.849043,6.88285,22.805079,18.262926,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-04,159.55627179236816,276.7236995400277,4499.28598842568,11.0,34.12291421578871,178.08570283627773,6.0,7.071944309258877,7.243697038488662,3.328519739308128,1.7012788162675891,11.983925,6.703361,22.769983,18.237501,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-05,110.63633341922306,232.35471923019827,3878.740883872557,19.947037474470683,26.849066258969817,185.21179016531164,12.434764020130464,8.197053664082937,7.331414246164758,2.0,1.4839619632627454,11.959464,6.5546036,22.750103,18.313705,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-06,160.58568144346833,58.48787564126221,4123.628164276512,11.0,22.229338698196948,161.0597409844109,6.0,7.124825425588313,7.628296543038611,2.0,2.0051748672835688,11.962162,6.6317782,22.91689,18.292278,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-07,122.79818946305238,261.5757737921267,3010.985502575312,11.787300520284989,29.93757752313899,201.5230106022297,9.705559270883462,9.018477497852832,7.016860523698437,3.483031234359516,2.1890393673938906,11.733273,6.802558,22.74227,18.29166,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-08,82.38810527717928,55.75459959593746,3970.4753358806543,36.20069826319075,17.860492871881934,209.83671523177156,11.101280651031416,7.893181914548887,6.705275438495752,2.0,1.61651890033762,12.130356,6.240668,22.87438,18.319868,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-09,77.1018609722222,90.33146495560256,9088.72096458246,11.0,24.595920115552165,182.4718405062204,6.0,7.081620138158351,7.131328254408173,3.697181306438843,1.7229202680167994,12.329119,6.4653583,22.89801,18.24406,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-10,60.82145293776998,58.23071963314127,5178.400318682552,14.130553510005468,21.801340358385723,147.00271692701708,6.0,8.085368497031688,6.827139948694015,2.0,1.9024471934064295,11.822422,6.2344704,22.935495,18.197079,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-11,132.86454745937797,186.474429546624,4952.797336854462,11.0,25.151120480203804,2359.000481336255,6.0,11.128138374194448,7.360235253694834,2.0,1.970387777597755,11.91609,6.8765135,22.853065,18.329956,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-12,87.12076616924888,70.55814603986218,13825.56082434038,11.0,22.00320330208852,154.1336438438353,6.0,8.911089727148918,6.415319908032352,2.0,1.5110836886519328,11.966139,6.1679726,22.89999,18.239038,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-13,107.30515142547388,151.50889276875589,12086.52807507435,11.0,23.315315478323697,589.740396482727,6.0,8.904823809972866,6.157026606652444,2.0,1.757442773496208,12.399033,6.6025105,22.842058,18.264925,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-01,159.59549329723217,57.87724106345482,3616.4416926286535,65.01241886714081,23.04849383532277,167.78080763511048,6.0,10.96978784442704,18.668125213380407,2.0,1.810966219773328,11.782926,6.351674,22.83733,18.491154,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-02,166.18314083599958,65.17762549757833,5995.739115714974,41.03721262146979,17.750153746649275,200.68489659404332,6.0,13.954676489652732,18.805296695693222,2.0,1.83645634175553,11.951629,6.7965813,22.816214,18.487545,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-03,179.15732532006376,118.76601362885768,5447.463721783636,40.055786308330376,17.545798067938538,170.09565912612806,17.242316861353245,16.462874246841704,19.6911435445917,2.1766077239920523,1.8003120982213043,12.321524,6.412568,22.813673,18.484697,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-04,160.32303851438,98.49332402221708,4517.156144319988,39.215132824912665,21.60825554930179,178.5479575982879,6.0,11.83743758934698,20.94732428042208,2.0,1.7080748400017782,11.79877,6.7238874,22.82262,18.515984,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-05,184.33926038947905,128.12684209866129,4429.782083363936,40.77896610244225,20.021978798484817,172.53178176597424,6.0,9.760732624966014,24.090330217680265,2.0,1.6126638393809674,11.832565,6.6151137,22.824615,18.498999,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-06,198.48722897529527,135.27082728128747,7539.227567756236,38.10280031543461,20.028113894501825,189.0187643205347,6.0,11.101008375625645,24.886146374232844,2.212486689411552,1.785326993804908,11.72574,6.7014666,22.812273,18.489567,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-07,184.2859125423942,70.887523692742,7633.886808090481,45.522286748563886,19.097280156823413,197.44781296207708,9.543691993950189,13.393545438339585,26.708650614197367,2.0,2.0946343989602627,12.45413,6.5395346,22.815037,18.486902,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-08,184.2074676087509,59.27463536385702,6384.798772140537,40.68229360145422,21.18393092804893,189.52681449919015,6.0,11.432312392236366,24.38082254366392,2.0,1.8291106792559797,12.032743,6.5860143,22.82255,18.49778,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-09,174.57028678372313,109.83458403310225,5544.057782130104,43.38344403255286,19.62347836240456,174.68437694640912,6.0,10.69437546457387,22.714782227287763,2.0,1.6268869825501822,11.851566,6.656493,22.820913,18.500637,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-10,141.76946135619806,82.24318008074904,3216.321326041071,61.55130442212424,23.403792716635124,191.20441936106192,6.0,10.250363999043378,20.378451546401315,2.0,1.88287656729233,11.562845,6.6163144,22.817415,18.469522,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-11,159.2967632673066,94.18283507483326,3553.874415357047,38.30324400505448,17.197367516731468,183.04092630333184,12.270969317747047,13.58192782068811,20.167186694424064,2.0,1.8614854588316052,11.954674,6.2008753,22.817028,18.489437,11
Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-063-12,137.87257986465826,75.57777443207044,3930.5851043583752,47.17880208417478,20.91727007534132,193.47599773014824,9.250683628757669,12.752666284741812,17.519190467653893,3.0934845106750446,1.6420445512644328,12.1452675,6.3231173,22.815737,18.480164,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-1,129.34104730007533,51.2437951572247,6551.141885083884,95.5627374695459,40.85674403707868,31.857586271663997,6.0,6.0,2.0956470902473434,2.0,1.2659269661338912,12.400824,6.0199738,22.800468,17.566679,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-2,107.28065657263892,40.25804584765616,5400.633973177457,199.10097555646524,38.01011621454776,34.739884458086635,6.0,6.0,2.2947559966415847,2.0,1.0065552077173152,12.209049,6.0823617,22.80951,17.598244,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-3,124.18855431197792,109.5363975999019,4629.124454415597,105.43120704232828,31.918282048575985,42.692014622267,6.0,6.0,1.7061492900367743,2.0,1.0262041905530714,12.320803,6.4215584,22.8115,17.58593,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-4,107.01973733302988,47.869509150101976,5983.943352047192,94.98838098048044,36.337842884702376,34.182316893795935,6.0,6.0,1.9789884681187304,2.0,1.1837280358818332,12.043894,5.9648533,22.831352,17.590206,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-5,151.94959956176595,123.02301504283074,4531.785866385457,77.23874566290387,34.11194885775694,44.23771229790667,6.0,6.0,2.4602669672367403,2.0,1.4935151202716053,12.267183,6.2459183,22.76573,17.581434,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-6,159.39707754457942,61.62311130053303,4142.7935858149285,112.0560512159719,44.99522552698679,35.562638528797336,6.0,6.0,1.7984855258679158,2.0,1.59913432683911,12.241097,6.225868,22.791885,17.575905,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-7,297.0480252450332,101.01553275663647,5860.65908774676,82.71386872663614,42.20832563291449,35.890735966845334,6.0,6.0,1.97852751400802,2.0,1.0223903207602012,12.272051,6.0976405,22.735868,17.604738,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-8,147.72335141544713,70.0941816071694,6246.46375650887,194.4373534416941,34.145574157634975,39.84339790982423,6.546460008852554,6.0,1.867273502826146,3.4852903749895625,1.096793670639614,12.441392,6.3318014,22.776236,17.579885,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-9,157.16214228613947,33.74006965106675,5322.070833198386,115.07357895270596,39.95268977771182,32.227159255727905,6.0,6.0,1.884143032492973,2.0,1.0,12.088506,5.921942,22.792995,17.575752,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-10,198.40721165558,147.04116787175752,5675.693496663807,250.4625920716658,47.61211892375263,47.393969836307626,6.0,6.0,2.0013740916304075,2.404109178261142,1.4722340660879083,12.369173,6.5390863,22.739445,17.579245,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-11,148.40402263459768,81.97635383667148,6197.78227283782,175.4268749800269,43.27191294857998,46.87574334902101,6.0,6.0,2.291419873086646,2.0,1.4801564660164217,12.411368,6.261957,22.769405,17.58308,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-12,158.7504478941205,82.54780058574822,4789.642896449155,132.42322910220602,55.2521051887385,42.82068897461094,6.0,6.0,2.4174046150620296,2.0,1.1418727557590092,11.908196,6.549147,22.753016,17.597322,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-13,60.41565917835408,25.018726310603824,9218.189278056796,42.61249898669821,43.78150454158352,25.311048744465115,6.0,6.0,2.234701284541796,2.0,1.1860604917628628,12.096314,5.780847,22.908373,17.619196,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-62-14,158.33952229337623,111.26005626138648,3521.039721276539,85.10650077866813,53.01464732022123,43.68741134369056,6.0,6.0,2.160391173950298,2.0,1.3699896389384398,12.076301,6.3460894,22.789722,17.573242,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-1,1820.0926123924296,1285.6359915462529,11158.065462970222,1259.322222463364,41.436464785908825,249.72037526244665,12.777789679127416,6.0,1.5170090240891725,2.0,1.0,12.699328,7.271436,21.684921,17.396114,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-2,1079.2079500449072,918.1767822032548,19236.84924801808,837.6960557592162,42.60606434597055,322.37294381230026,6.0,6.0,1.8753697045128623,2.695908682132311,1.0,12.585824,7.5954504,21.697596,17.392609,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-3,593.9582664045834,570.8051857893892,6499.107630093904,997.0570890184572,32.052980289570534,272.5911659217956,6.0,6.0,1.3994558051983048,2.0,1.0,12.665985,7.032656,21.697556,17.39138,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-4,2691.474195521867,1662.3267474117768,27693.253966466396,596.4394320393862,27.54825518635376,263.3784802135623,6.143326724209836,6.0,3.157795217231478,2.0,1.0,12.620778,7.5577574,21.686636,17.428112,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-5,1420.4999152134058,1148.7330197774345,8015.086528959981,878.7289466902911,36.17766669607175,242.1955074435905,9.991730552187173,6.0,1.9456447530259744,2.0,1.0,12.403727,7.4795785,21.692146,17.416883,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-6,770.7696796936716,401.7889204634103,4747.08206839043,46.68493581520931,38.58275160136603,69.98198447219393,6.0,6.0,17.6026624146117,6.009136757774119,1.0,12.319701,6.637326,21.822563,17.925737,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-7,1983.306664167078,1534.2713019268722,7487.907071543739,1066.3172169806603,37.41464774000532,239.19268040528863,21.2428090464364,6.0,2.0752082687281157,2.0,1.0,12.462018,7.501939,21.693867,17.429996,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-8,1422.669162672075,1069.297201884958,37389.45485784554,1835.619504991696,40.89375539478313,218.61569798939604,10.507211457724488,6.0,2.148250192320337,2.0109643751649484,1.0,12.656594,7.489806,21.691616,17.401072,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-9,1848.0191377582269,1121.9206227742627,6762.446229066512,411.3266992275648,37.44546118707025,233.88059490989215,31.244791147895192,6.683465580365577,17.612615891233972,5.252061353406684,1.4587385606102026,12.379234,7.240676,21.780941,17.644487,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-10,1083.912101774246,665.7570956378684,4832.244130891892,104.85375366739986,34.30839664101928,85.83116402910585,6.0,6.0,16.302597476649257,3.699652578363207,1.0,12.1145315,7.2312856,21.817358,17.926527,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-11,1093.124277102627,616.3486578318932,4281.130611104446,91.28429129919884,35.41602606078683,95.70615157243355,6.0,6.0,13.446644099750497,5.387197767821736,1.076043701416471,11.988251,7.2427635,21.828913,17.933111,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-12,824.7818784905396,439.04249658497673,3851.406670580668,97.26064568371928,29.368719703480256,110.87025107268336,6.0,6.0,15.403765512636904,4.33325102245023,1.20764812644472,11.880328,7.228007,21.835178,17.928755,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-13,961.690820825527,510.7626644787826,4052.251345509936,66.33056427792505,35.754572565061395,75.6075575715569,6.0,6.0,16.173396591880532,2.207344907386469,1.2421853809561365,12.379404,6.720951,21.81223,17.944275,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-14,2936.654108256193,2047.868103752229,10073.39846998035,1663.2732838418945,49.136901647293534,299.6551200523575,6.255776876369431,6.0,2.5043795720328874,2.0,1.0149279318016422,12.556208,7.881272,21.68672,17.42112,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-15,8806.37605035381,5981.04881953089,26352.67463657469,322.5491335142724,35.393810377172414,155.95665578253642,6.0,14.711738592940495,18.63035346497646,3.765224402677552,3.454149740183011,12.165486,8.374613,20.195728,12.88581,8
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-16,822.8121075714369,337.18628042380914,4756.181506626499,37.28244757184207,37.91021950764447,75.65424273802898,6.0,6.0,18.642987753613177,6.009546677514529,1.0,11.80173,6.9800572,21.839256,17.91415,11
Lake Superior,BIF,Altered,Chung et al 2015,,HY-77-17,869.1866798160029,368.39111954746346,3265.9226938816764,41.30759671511839,39.88225613783822,76.11453772692188,6.0,6.0,18.84601495559681,5.021991057403968,1.0,12.1362295,6.558089,21.848043,17.923853,11
